epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4044,0.6799,0.31047,0.00543,1,0.9764,0.99148,0.90034,0.45531,0.18946,0.00537,0.000327869,0.000327869,0.067541
2,17.3833,0.51499,0.25715,0.00433,0.9883,0.98193,0.9912,0.9471,0.32828,0.16303,0.00389,0.00064811,0.00064811,0.0345279
3,20.2548,0.47227,0.24221,0.00394,0.99982,0.98256,0.99434,0.97632,0.25386,0.14473,0.00295,0.000955152,0.000955152,0.0015016
4,23.0512,0.44211,0.23214,0.0037,0.99772,0.98837,0.99419,0.96392,0.24891,0.11156,0.00295,0.0009406,0.0009406,0.0009406
5,25.9328,0.44674,0.22862,0.00363,0.98504,0.98837,0.99275,0.97201,0.29656,0.14208,0.00359,0.0009208,0.0009208,0.0009208
6,28.7248,0.45397,0.2166,0.00389,0.98467,0.97674,0.99305,0.97109,0.24336,0.13756,0.00286,0.000901,0.000901,0.000901
7,31.529,0.43639,0.22661,0.00363,0.99414,0.98664,0.99424,0.97889,0.2261,0.11217,0.00265,0.0008812,0.0008812,0.0008812
8,34.2795,0.42769,0.23066,0.00356,0.98244,0.98837,0.99444,0.96923,0.25625,0.10912,0.00309,0.0008614,0.0008614,0.0008614
9,37.1531,0.43073,0.22054,0.00358,0.99664,0.9593,0.99312,0.97052,0.2628,0.15063,0.00301,0.0008416,0.0008416,0.0008416
10,39.8837,0.44755,0.2305,0.00377,1,0.98009,0.99419,0.97032,0.26958,0.13382,0.0032,0.0008218,0.0008218,0.0008218
11,42.674,0.40365,0.20954,0.00336,0.98842,0.99256,0.99453,0.96638,0.28875,0.14196,0.00339,0.000802,0.000802,0.000802
12,45.4429,0.43667,0.21779,0.00363,0.99411,0.98106,0.99423,0.96751,0.26359,0.12554,0.00324,0.0007822,0.0007822,0.0007822
13,48.316,0.39708,0.20318,0.00335,0.99889,0.97674,0.98488,0.96412,0.24753,0.14766,0.00279,0.0007624,0.0007624,0.0007624
14,51.0793,0.43397,0.21753,0.00363,0.99329,0.98256,0.98494,0.96214,0.26209,0.14521,0.00301,0.0007426,0.0007426,0.0007426
15,53.9012,0.41251,0.22344,0.00341,0.99828,0.97674,0.99439,0.96634,0.28953,0.13969,0.00341,0.0007228,0.0007228,0.0007228
16,56.6852,0.40951,0.22683,0.00342,0.99857,0.98256,0.99477,0.97745,0.23268,0.11692,0.00277,0.000703,0.000703,0.000703
17,59.4101,0.40805,0.21748,0.00342,0.99411,0.98163,0.98925,0.97534,0.25039,0.14477,0.00302,0.0006832,0.0006832,0.0006832
18,62.3131,0.39374,0.22557,0.00332,0.99411,0.98126,0.99432,0.97679,0.22833,0.1462,0.00272,0.0006634,0.0006634,0.0006634
19,65.0866,0.40253,0.20846,0.00339,0.98824,0.97717,0.99336,0.97347,0.26026,0.15074,0.00311,0.0006436,0.0006436,0.0006436
20,67.813,0.3921,0.213,0.00339,0.99374,0.98256,0.98471,0.96761,0.23281,0.14535,0.00273,0.0006238,0.0006238,0.0006238
21,70.5379,0.39211,0.20642,0.0034,0.99381,0.98837,0.99316,0.97635,0.2428,0.13071,0.00291,0.000604,0.000604,0.000604
22,73.4051,0.39178,0.19411,0.00328,0.98671,0.98837,0.99339,0.96987,0.2324,0.14841,0.00277,0.0005842,0.0005842,0.0005842
23,76.204,0.38864,0.19132,0.00327,0.9994,0.98256,0.99419,0.97214,0.21816,0.12386,0.0026,0.0005644,0.0005644,0.0005644
24,78.935,0.38218,0.18835,0.00331,1,0.98776,0.99405,0.97097,0.23961,0.12526,0.00278,0.0005446,0.0005446,0.0005446
25,81.666,0.37553,0.19639,0.00312,0.9877,0.98256,0.99402,0.96431,0.28881,0.14014,0.00328,0.0005248,0.0005248,0.0005248
26,84.4506,0.37228,0.20377,0.00322,0.9934,0.98837,0.98917,0.97325,0.229,0.12122,0.00269,0.000505,0.000505,0.000505
27,87.3106,0.38064,0.20382,0.00325,0.98834,0.98561,0.99362,0.97361,0.23924,0.13159,0.0028,0.0004852,0.0004852,0.0004852
28,90.1161,0.37718,0.18197,0.00328,1,0.97996,0.99395,0.96825,0.2409,0.12336,0.00276,0.0004654,0.0004654,0.0004654
29,92.8977,0.3689,0.19648,0.0032,0.99407,0.97431,0.99407,0.97343,0.23355,0.1295,0.00279,0.0004456,0.0004456,0.0004456
30,95.6362,0.35213,0.19486,0.00293,1,0.98683,0.9941,0.97296,0.23195,0.11763,0.00269,0.0004258,0.0004258,0.0004258
31,98.5058,0.36101,0.18841,0.00308,1,0.98812,0.985,0.96709,0.23135,0.1161,0.00275,0.000406,0.000406,0.000406
32,101.268,0.37782,0.19219,0.00321,0.98836,0.98703,0.98494,0.96268,0.2675,0.1436,0.00304,0.0003862,0.0003862,0.0003862
33,104.065,0.35048,0.19963,0.00299,0.98098,0.98837,0.98488,0.96615,0.22048,0.13706,0.00259,0.0003664,0.0003664,0.0003664
34,106.831,0.33845,0.17281,0.00282,0.99741,0.98256,0.985,0.96718,0.21622,0.1311,0.00254,0.0003466,0.0003466,0.0003466
35,109.647,0.35083,0.17161,0.003,0.98265,0.98768,0.99281,0.96483,0.2712,0.14198,0.00323,0.0003268,0.0003268,0.0003268
36,112.481,0.35071,0.18437,0.00295,0.98836,0.98695,0.994,0.97482,0.24847,0.13448,0.00293,0.000307,0.000307,0.000307
37,115.214,0.33903,0.1786,0.00285,0.99412,0.98227,0.99388,0.97575,0.20517,0.11959,0.00242,0.0002872,0.0002872,0.0002872
38,117.976,0.32197,0.16176,0.00274,0.99367,0.98837,0.9941,0.97475,0.21271,0.11632,0.00249,0.0002674,0.0002674,0.0002674
39,120.769,0.33463,0.1726,0.00278,0.99411,0.98166,0.99444,0.97379,0.22935,0.12294,0.00265,0.0002476,0.0002476,0.0002476
40,123.587,0.32856,0.18004,0.00277,0.99336,0.98837,0.99403,0.97608,0.20654,0.11818,0.00243,0.0002278,0.0002278,0.0002278
41,126.93,0.23932,0.11987,0.00274,0.99752,0.97674,0.99438,0.97429,0.20907,0.11398,0.00246,0.000208,0.000208,0.000208
42,129.599,0.24329,0.1121,0.00271,0.98837,0.98813,0.99413,0.9719,0.22374,0.11809,0.00259,0.0001882,0.0001882,0.0001882
43,132.265,0.24637,0.11652,0.00275,0.99967,0.98837,0.99386,0.97282,0.22172,0.11231,0.00262,0.0001684,0.0001684,0.0001684
44,134.946,0.23122,0.10079,0.00256,0.99901,0.97674,0.99394,0.97692,0.20536,0.11635,0.0024,0.0001486,0.0001486,0.0001486
45,137.681,0.22862,0.10716,0.00255,0.99922,0.98837,0.994,0.97583,0.20937,0.10909,0.00243,0.0001288,0.0001288,0.0001288
46,140.334,0.23358,0.11582,0.00262,1,0.98232,0.99391,0.97472,0.21185,0.1188,0.00245,0.000109,0.000109,0.000109
47,143.028,0.22793,0.10677,0.00249,1,0.98092,0.994,0.97671,0.20485,0.1162,0.00239,8.92e-05,8.92e-05,8.92e-05
48,145.715,0.22658,0.10293,0.00249,0.99379,0.98837,0.99318,0.97703,0.20404,0.11185,0.0024,6.94e-05,6.94e-05,6.94e-05
49,148.376,0.21502,0.10091,0.00239,1,0.98723,0.99338,0.97563,0.2014,0.11022,0.00236,4.96e-05,4.96e-05,4.96e-05
50,151.139,0.22249,0.11167,0.00252,0.99371,0.98837,0.99284,0.97643,0.19799,0.10954,0.0023,2.98e-05,2.98e-05,2.98e-05
