timestamp,frame,color,color_confidence,intensity,vote_red,vote_green,vote_blue,vote_other,det_confidence,x1,y1,x2,y2,tracking_id,pos3d_x,pos3d_y,pos3d_z
1782242405.460,32,red,0.3441,0.7762,1.0000,0.0000,0.0000,0.0000,0.9622,389,530,596,709,-1,,,
1782242406.559,33,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9293,366,514,553,678,-1,49.6429,127.1429,80.0000
1782242408.092,34,white,0.1324,0.9411,0.0000,0.0000,0.0000,0.0000,0.9497,391,477,583,636,-1,64.8616,122.7321,87.0000
1782242409.761,36,blue,0.0149,0.8130,0.0000,0.0000,1.0000,0.0000,0.9669,547,639,726,764,-1,101.5714,148.1786,72.0000
1782242412.143,39,red,0.2132,0.8675,1.0000,0.0000,0.0000,0.0000,0.9390,558,681,713,768,-1,118.1250,181.5000,84.0000
1782242413.307,40,red,0.2030,0.9641,1.0000,0.0000,0.0000,0.0000,0.9459,616,574,755,688,-1,,,
1782242414.968,41,blue,0.0170,0.8170,0.0000,0.0000,1.0000,0.0000,0.9553,571,527,698,635,-1,176.6250,191.8125,126.0000
1782242416.356,42,red,0.3571,0.8614,1.0000,0.0000,0.0000,0.0000,0.9743,491,545,630,662,7,,,
1782242417.569,43,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9763,610,580,752,703,-1,,,
1782242419.258,44,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9645,646,541,791,664,8,190.1161,172.9196,107.0000
1782242423.404,51,red,0.2504,0.8376,0.9920,0.0000,0.0080,0.0000,0.7376,674,674,857,766,-1,,,
1782242424.678,52,blue,0.0207,0.8842,0.0000,0.0000,1.0000,0.0000,0.9877,586,620,763,762,-1,116.9464,148.9911,74.0000
1782242426.239,53,blue,0.0207,0.8980,0.0000,0.0000,1.0000,0.0000,0.8868,581,529,735,654,-1,159.9464,166.0982,106.0000
1782242427.524,54,red,0.3399,0.9434,1.0000,0.0000,0.0000,0.0000,0.8339,628,508,778,630,11,,,
1782242429.237,55,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9643,559,568,714,698,11,,,
1782242430.652,56,red,0.3681,0.7394,1.0000,0.0000,0.0000,0.0000,0.9496,764,536,879,634,-1,,,
1782242431.898,57,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9354,421,521,511,595,-1,,,
1782242433.531,58,red,0.0745,0.6718,1.0000,0.0000,0.0000,0.0000,0.9529,477,546,559,615,13,,,
1782242434.837,59,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9341,475,540,560,616,13,,,
1782242442.627,71,white,0.6993,0.9898,0.0000,0.0000,0.0000,0.0000,0.5206,470,449,526,500,-1,,,
1782242444.365,72,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8582,340,478,413,541,-1,,,
1782242445.586,73,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9084,576,503,679,587,-1,,,
1782242447.141,74,unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7506,772,525,863,599,-1,,,
1782242448.774,75,red,0.1905,0.7127,1.0000,0.0000,0.0000,0.0000,0.9468,803,511,901,591,17,,,
1782242450.904,77,red,0.4368,0.7476,1.0000,0.0000,0.0000,0.0000,0.8460,803,501,901,583,17,,,
1782242452.350,78,red,0.4103,0.8670,1.0000,0.0000,0.0000,0.0000,0.9809,282,471,353,532,-1,,,
1782242453.881,79,white,0.6993,0.9948,0.0000,0.0000,0.0000,0.0000,0.6262,463,481,522,536,-1,,,
